# One stroke drawn by hand on a Wacom DTH246, 13 Sep 2026, through Scribble.Avalonia on the
# Avalonia Pointer backend (PointerEventArgs.Timestamp).
#
# The last of the six to be measured, and it corrects the injected figure in a way the others
# did not. Under injection 172 points carried 113 distinct timestamps, which reads as a clock
# too coarse to separate consecutive points. On hardware there are no repeats at all: 2167
# points, 2167 distinct timestamps, 2166 gaps and not one of them zero.
#
# Resolution is 1ms, and that comes from the source type rather than from this file:
# PointerEventArgs.Timestamp is a ulong count of milliseconds, multiplied by 1000 on the way
# in. The recording is consistent with it -- every gap an exact multiple of 1000us, taking
# seven values between 3ms and 9ms. Note the smallest gap is 3ms, so the greatest common
# divisor of 1000us here is not itself evidence of a 1ms clock; the field's own unit is.
#
# The gap distribution is lopsided in a way worth recording without explaining: 5ms occurs
# 1136 times and 7ms 659, while 6ms occurs only 30. A 180 Hz device sampled onto a 1ms clock
# would be expected to alternate 5 and 6. The mean is 5560us either way, matching the other
# five recordings to within a microsecond, and 2167 points across 12.044s is 179.9 Hz.
#
# One point per event, which is also what the intermediate-point recovery added in #110 sees
# when nothing is coalesced: GetIntermediatePoints returned a single point every time here.
#
# Pen stroke recorded from a live session, in desktop pixels.
# Source: AvaloniaPointerSession
# MaxPressure: 1024
# Captured: 2026-09-13 02:35:35, 2167 points
# Timestamp: SystemTicks
desktopX,desktopY,pressure,timeUs
2236.1782767584673,2530.163803435877,1,0
2236.1782767584673,2530.163803435877,2,5000
2236.1782767584673,2530.163803435877,7,10000
2236.1782767584673,2530.163803435877,8,17000
2236.1782767584673,2530.163803435877,10,22000
2238.927024074144,2530.28365960847,11,26000
2239.650378630901,2530.28365960847,11,34000
2239.9397204536035,2530.28365960847,12,38000
2240.6630750103604,2530.28365960847,13,43000
2241.0970877444147,2530.28365960847,14,50000
2241.531100478469,2530.28365960847,15,55000
2241.965113212523,2530.4035157810627,16,60000
2242.5437968579286,2530.4035157810627,17,67000
2242.68846776928,2530.5233719536554,19,72000
2243.2671514146855,2530.5233719536554,20,77000
2243.7011641487397,2530.6432281262487,20,83000
2244.135176882794,2530.6432281262487,21,88000
2244.5691896168482,2530.6432281262487,22,93000
2245.292544173605,2530.7630842988415,22,100000
2245.581885996308,2530.8829404714343,23,105000
2246.305240553065,2531.002796644027,23,110000
2246.739253287119,2531.12265281662,23,117000
2247.1732660211733,2531.12265281662,24,122000
2247.89662057793,2531.242508989213,24,126000
2248.3306333119845,2531.362365161806,25,133000
2249.0539878687414,2531.4822213343987,26,138000
2249.7773424254983,2531.6020775069915,26,143000
2250.5006969822552,2531.7219336795847,27,150000
2250.9347097163095,2531.7219336795847,28,155000
2251.6580642730664,2531.8417898521775,29,160000
2252.0920770071207,2531.9616460247703,29,167000
2252.8154315638776,2531.9616460247703,30,172000
2253.249444297932,2532.081502197363,30,176000
2253.972798854689,2532.201358369956,31,183000
2254.6961534114457,2532.321214542549,31,188000
2255.4195079682027,2532.441070715142,32,193000
2255.853520702257,2532.6807830603275,32,200000
2256.576875259014,2532.8006392329203,33,205000
2257.0108879930676,2532.9204954055135,33,210000
2257.734242549825,2533.0403515781063,34,217000
2258.168255283879,2533.160207750699,34,222000
2258.8916098406357,2533.280063923292,35,226000
2259.32562257469,2533.280063923292,36,234000
2260.048977131447,2533.399920095885,37,239000
2260.482989865501,2533.399920095885,38,243000
2261.206344422258,2533.519776268478,38,250000
2261.929698979015,2533.519776268478,39,255000
2262.3637117130693,2533.519776268478,40,260000
2263.087066269826,2533.6396324410707,41,267000
2263.810420826583,2533.7594886136635,41,272000
2264.2444335606374,2533.7594886136635,42,277000
2264.9677881173943,2533.8793447862563,42,284000
2265.4018008514486,2533.9992009588495,43,289000
2265.9804844968544,2534.1190571314423,44,293000
2266.414497230908,2534.238913304035,44,300000
2267.137851787665,2534.358769476628,45,305000
2267.5718645217194,2534.598481821814,46,310000
2268.0058772557736,2534.7183379944067,46,317000
2268.7292318125305,2534.8381941669995,47,322000
2269.163244546585,2534.9580503395923,48,327000
2269.74192819199,2535.317618857371,48,334000
2270.1759409260444,2535.437475029964,48,338000
2270.6099536600987,2535.5573312025567,49,343000
2271.043966394153,2535.7970435477428,49,350000
2271.76732095091,2535.9168997203356,50,355000
2272.201333684964,2536.1566120655216,50,360000
2272.7800173303694,2536.2764682381144,50,367000
2273.2140300644237,2536.396324410707,51,372000
2273.9373846211806,2536.6360367558927,51,377000
2274.371397355235,2536.755892928486,52,384000
2274.805410089289,2536.9956052736716,52,388000
2275.528764646046,2537.1154614462644,52,393000
2275.9627773801003,2537.235317618857,53,400000
2276.6861319368572,2537.3551737914504,53,405000
2276.97547375956,2537.475029964043,54,410000
2277.698828316317,2537.594886136636,54,417000
2278.132841050371,2537.954454654415,55,422000
2278.5668537844253,2538.0743108270076,55,427000
2279.2902083411823,2538.1941669996004,56,434000
2279.7242210752365,2538.4338793447864,57,438000
2280.302904720642,2538.553735517379,57,443000
2280.736917454696,2538.793447862565,57,451000
2281.460272011453,2539.033160207751,58,455000
2281.8942847455073,2539.2728725529364,59,460000
2282.6176393022643,2539.5125848981224,59,467000
2283.0516520363185,2539.872153415901,59,472000
2283.4856647703728,2539.9920095884936,59,477000
2283.919677504427,2540.2317219336796,60,484000
2284.643032061184,2540.3515781062724,61,489000
2285.2217157065893,2540.7111466240513,61,494000
2285.6557284406435,2540.950858969237,62,500000
2286.3790829974005,2541.190571314423,62,505000
2286.8130957314547,2541.3104274870157,62,510000
2287.5364502882117,2541.5501398322012,63,517000
2288.2598048449686,2541.90970834998,64,522000
2288.838488490374,2542.1494206951656,64,527000
2289.4171721357798,2542.5089892129445,64,534000
2290.285197603888,2542.6288453855373,65,539000
2290.719210337942,2542.74870155813,66,543000
2291.442564894699,2542.988413903316,66,550000
2292.021248540105,2543.2281262485017,67,555000
2292.59993218551,2543.4678385936877,68,560000
2293.323286742267,2543.5876947662805,69,567000
2293.7572994763214,2543.827407111466,70,572000
2294.335983121727,2543.827407111466,71,577000
2295.059337678484,2543.9472632840593,71,584000
2295.4933504125383,2544.067119456652,72,589000
2296.2167049692953,2544.186975629245,73,593000
2296.940059526052,2544.4266879744305,74,600000
2297.3740722601065,2544.5465441470237,74,605000
2298.0974268168634,2544.6664003196165,75,610000
2298.8207813736203,2544.6664003196165,75,617000
2299.3994650190257,2544.7862564922093,76,622000
2300.1228195757826,2544.906112664802,76,627000
2300.8461741325395,2544.906112664802,76,634000
2301.5695286892965,2545.0259688373953,77,639000
2302.2928832460534,2545.145825009988,77,643000
2302.7268959801077,2545.145825009988,78,651000
2303.4502505368646,2545.265681182581,79,656000
2304.1736050936215,2545.265681182581,79,660000
2304.8969596503784,2545.3855373551737,80,667000
2305.4756432957843,2545.5053935277665,81,672000
2306.0543269411896,2545.7451058729525,82,677000
2306.7776814979466,2545.984818218138,83,684000
2307.3563651433524,2546.104674390731,83,689000
2308.0797197001093,2546.344386735917,84,694000
2308.8030742568662,2546.4642429085097,85,701000
2309.526428813623,2546.7039552536958,85,706000
2310.24978337038,2547.063523771474,86,710000
2310.973137927137,2547.183379944067,86,717000
2311.8411633952455,2547.423092289253,87,722000
2312.5645179520025,2547.6628046344385,88,727000
2313.2878725087594,2547.782660807032,89,734000
2314.0112270655163,2548.0223731522174,91,739000
2314.879252533625,2548.14222932481,92,744000
2315.6026070903818,2548.501797842589,93,751000
2316.3259616471387,2548.621654015182,94,755000
2317.0493162038956,2548.8613663603674,94,760000
2317.917341672004,2549.1010787055534,95,767000
2318.640696228761,2549.220934878146,96,772000
2319.364050785518,2549.460647223332,97,777000
2320.3767471649776,2549.700359568518,97,784000
2320.955430810383,2549.9400719137034,97,789000
2321.968127189843,2550.1797842588894,97,794000
2322.6914817466,2550.419496604075,98,801000
2323.559507214708,2550.539352776668,99,805000
2324.2828617714654,2550.779065121854,100,810000
2325.295558150925,2551.1386336396326,101,817000
2325.8742417963304,2551.2584898122254,102,822000
2326.8869381757904,2551.498202157411,103,827000
2327.6102927325474,2551.737914502597,105,834000
2328.4783182006554,2551.737914502597,107,839000
2329.4910145801155,2551.9776268477826,108,844000
2330.2143691368724,2552.0974830203754,109,851000
2331.0823946049804,2552.3371953655615,110,855000
2332.0950909844405,2552.4570515381542,111,860000
2332.673774629846,2552.69676388334,112,868000
2333.6864710093055,2552.816620055933,113,872000
2334.554496477414,2553.0563324011187,114,877000
2335.5671928568736,2553.1761885737114,114,884000
2336.435218324982,2553.4159009188975,115,889000
2337.4479147044417,2553.775469436676,115,894000
2338.31594017255,2554.015181781862,115,901000
2339.32863655201,2554.2548941270475,116,906000
2340.1966620201183,2554.3747502996403,116,911000
2341.209358399578,2554.6144626448263,117,918000
2342.0773838676864,2554.9740311626047,117,922000
2343.090080247146,2555.2137435077907,117,927000
2344.247447537957,2555.4534558529763,118,934000
2345.1154730060657,2555.6931681981623,119,939000
2346.1281693855253,2555.813024370755,120,944000
2346.996194853634,2556.0527367159407,121,951000
2348.0088912330934,2556.4123052337195,122,957000
2348.876916701202,2556.5321614063123,123,960000
2349.600271257959,2556.7718737514983,124,967000
2350.75763854877,2557.011586096684,125,972000
2351.7703349282297,2557.011586096684,125,977000
2352.638360396338,2557.25129844187,126,984000
2353.6510567757978,2557.3711546144627,126,989000
2354.808424066609,2557.6108669596483,127,994000
2355.6764495347174,2557.730723132241,128,1001000
2356.689145914177,2557.8505793048344,128,1006000
2357.8465132049882,2557.970435477427,128,1010000
2358.7145386730963,2558.09029165002,128,1017000
2359.7272350525564,2558.09029165002,129,1022000
2360.8846023433675,2558.2101478226127,130,1027000
2362.0419696341787,2558.330003995206,131,1034000
2362.9099951022868,2558.330003995206,132,1040000
2364.2120333044495,2558.330003995206,132,1044000
2365.3694005952607,2558.330003995206,133,1051000
2366.526767886072,2558.330003995206,134,1056000
2367.39479335418,2558.330003995206,134,1060000
2368.552160644991,2558.330003995206,135,1069000
2369.5648570244507,2558.330003995206,135,1073000
2370.722224315262,2558.4498601677988,135,1077000
2371.879591606073,2558.4498601677988,135,1084000
2372.7476170741816,2558.4498601677988,136,1089000
2374.049655276344,2558.4498601677988,136,1094000
2374.9176807444524,2558.5697163403916,136,1101000
2376.0750480352635,2558.5697163403916,136,1106000
2377.087744414723,2558.6895725129843,136,1111000
2378.2451117055343,2558.6895725129843,137,1118000
2379.113137173643,2558.809428685577,137,1123000
2380.270504464454,2558.9292848581704,137,1127000
2381.2832008439136,2558.9292848581704,138,1134000
2382.151226312022,2558.9292848581704,138,1139000
2383.3085936028333,2559.049141030763,138,1144000
2384.321289982293,2559.168997203356,139,1151000
2385.478657273104,2559.2888533759487,139,1156000
2386.6360245639153,2559.2888533759487,139,1161000
2387.648720943375,2559.2888533759487,140,1169000
2388.806088234186,2559.4087095485415,140,1172000
2389.6741137022946,2559.4087095485415,140,1177000
2390.8314809931057,2559.528565721135,140,1184000
2391.8441773725654,2559.6484218937276,140,1189000
2393.0015446633765,2559.6484218937276,140,1194000
2393.8695701314846,2559.6484218937276,140,1201000
2394.8822665109446,2559.6484218937276,140,1206000
2395.7502919790527,2559.6484218937276,141,1211000
2396.7629883585128,2559.6484218937276,141,1218000
2397.920355649324,2559.7682780663204,141,1222000
2398.788381117432,2559.7682780663204,141,1227000
2399.801077496892,2559.888134238913,141,1234000
2400.669102965,2559.888134238913,141,1239000
2401.68179934446,2560.0079904115064,141,1244000
2402.549824812568,2560.127846584099,141,1251000
2403.7071921033794,2560.127846584099,141,1256000
2404.4305466601363,2560.247702756692,141,1261000
2405.5879139509475,2560.3675589292848,141,1268000
2406.3112685077044,2560.4874151018776,141,1272000
2407.323964887164,2560.4874151018776,141,1277000
2408.1919903552725,2560.607271274471,141,1285000
2409.204686734732,2560.7271274470636,141,1289000
2410.0727122028406,2560.966839792249,141,1294000
2410.7960667595976,2560.966839792249,141,1301000
2411.664092227706,2561.086695964842,141,1306000
2412.6767886071657,2561.206552137435,141,1311000
2413.4001431639226,2561.326408310028,141,1318000
2414.268168632031,2561.5661206552136,141,1323000
2415.2808650114907,2561.685976827807,140,1328000
2416.1488904795992,2561.8058330003996,140,1335000
2416.872245036356,2561.9256891729924,140,1339000
2417.7402705044647,2562.045545345585,140,1344000
2418.7529668839243,2562.165401518178,140,1351000
2419.476321440681,2562.2852576907712,140,1356000
2420.199675997438,2562.2852576907712,140,1361000
2421.0677014655466,2562.2852576907712,140,1368000
2421.7910560223036,2562.405113863364,140,1374000
2422.803752401763,2562.524970035957,140,1377000
2423.3824360471685,2562.6448262085496,140,1384000
2424.105790603926,2562.764682381143,140,1389000
2425.1184869833855,2562.8845385537356,140,1394000
2425.8418415401425,2562.8845385537356,140,1401000
2426.420525185548,2563.0043947263284,140,1406000
2427.433221565008,2563.124250898921,140,1411000
2428.156576121765,2563.124250898921,140,1418000
