# One slow shallow curve drawn by hand on a Wacom DTH246 pen display, taken through Qt's
# WinTab path in Scribble.Qt -- which uses no WinPenKit code at all. Paired with
# wintab-digitizer-stroke-1.75x.csv, drawn by the same hand at the same speed minutes apart
# on the same display, so the difference between the two files is the input path.
# Display scale 1.75x. Mean turn angle 5.44 deg, path 2041px, mean segment 0.97px.
# That 5.44 is what --replay reports, which is the figure to quote. A separate script that
# keeps zero-length steps rather than dropping them gives 5.57 on this file: it has 38
# duplicate samples against its pair's 15, and a step of no length has no direction.
# Pressure is reconstructed against an assumed 1024: Qt normalises to 0..1 and never states
# the device's own range, so this column is coarser than its pair's. See issue 92.
# Pen stroke recorded from a live session, in desktop pixels.
# Source: Qt Wintab, tablet-native
# MaxPressure: 1024
# Captured: 2147 points
desktopX,desktopY,pressure
3904.2585521606452,4123.5557331202563,1
3904.2585521606452,4123.5557331202563,2
3904.2585521606452,4123.5557331202563,3
3904.2585521606452,4123.5557331202563,4
3904.2585521606452,4123.5557331202563,5
3904.2585521606452,4123.5557331202563,6
3904.2585521606452,4123.5557331202563,9
3904.2585521606452,4123.5557331202563,10
3904.2585521606452,4123.5557331202563,11
3904.2585521606452,4123.5557331202563,13
3905.4159194514559,4124.274870155813,14
3905.4159194514559,4124.3947263284053,14
3905.7052612741591,4124.5145825009986,15
3905.7052612741591,4124.6344386735918,15
3905.8499321855106,4124.7542948461842,15
3906.1392740082124,4124.9940071913707,15
3906.1392740082124,4124.9940071913707,15
3906.4286158309155,4125.113863363963,15
3906.5732867422676,4125.2337195365562,15
3906.5732867422676,4125.3535757091495,15
3906.8626285649707,4125.4734318817418,16
3907.0072994763214,4125.4734318817418,17
3907.296641299024,4125.5932880543351,18
3907.5859831217272,4125.7131442269283,19
3907.7306540330783,4125.8330003995206,22
3908.0199958557805,4125.9528565721139,24
3908.4540085898352,4125.9528565721139,26
3908.7433504125379,4126.0727127447062,28
3908.8880213238899,4126.1925689172995,29
3909.1773631465921,4126.3124250898927,31
3909.6113758806468,4126.432281262485,32
3909.9007177033495,4126.432281262485,33
3910.1900595260518,4126.5521374350774,33
3910.3347304374029,4126.6719936076715,34
3910.6240722601069,4126.7918497802639,35
3911.0580849941603,4126.9117059528562,36
3911.3474268168634,4126.9117059528562,37
3911.7814395509167,4127.1514182980427,38
3912.0707813736208,4127.271274470635,39
3912.2154522849714,4127.5109868158215,40
3912.5047941076741,4127.7506991610071,41
3912.9388068417284,4127.9904115061927,41
3913.2281486644315,4128.2301238513783,43
3913.3728195757831,4128.3499800239715,44
3913.6621613984858,4128.5896923691571,45
3914.0961741325391,4128.8294047143427,46
3914.3855159552431,4129.0691170595283,47
3914.8195286892965,4129.3088294047138,47
3915.1088705119996,4129.5485417499003,48
3915.2535414233507,4129.6683979224927,49
3915.542883246053,4129.9081102676791,50
3915.9768959801077,4130.1478226128647,50
3916.4109087141619,4130.3875349580503,51
3916.7002505368646,4130.5073911306426,52
3916.9895923595677,4130.6272473032368,53
3917.423605093622,4130.8669596484215,53
3917.5682760049735,4130.8669596484215,54
3918.1469596503794,4130.9868158210147,56
3918.5809723844327,4131.1066719936071,57
3918.7256432957843,4131.2265281662003,58
3919.3043269411892,4131.2265281662003,59
3919.7383396752439,4131.3463843387935,60
3920.0276814979466,4131.5860966839791,61
3920.1723524092981,4131.5860966839791,62
3920.6063651433524,4131.7059528565724,63
3921.1850487887573,4131.8258090291647,63
3921.3297197001098,4132.0655213743512,64
3921.6190615228115,4132.1853775469435,65
3922.0530742568662,4132.3052337195368,65
3922.3424160795689,4132.5449460647224,66
3922.7764288136232,4132.6648022373156,67
3923.2104415476779,4133.0243707550944,67
3923.4997833703801,4133.1442269276868,67
3923.7891251930828,4133.3839392728732,68
3924.223137927137,4133.5037954454656,68
3924.3678088384886,4133.6236516180579,68
3924.9464924838935,4133.8633639632435,68
3925.091163395246,4133.9832201358367,69
3925.3805052179478,4134.2229324810223,69
3925.8145179520025,4134.3427886536156,69
3926.1038597747051,4134.4626448262088,70
3926.2485306860567,4134.7023571713944,70
3926.8272143314616,4134.7023571713944,71
3926.9718852428141,4134.8222133439876,71
3927.4058979768674,4134.94206951658,72
3927.6952397995706,4135.0619256891732,73
3928.1292525336239,4135.1817818617665,74
3928.418594356328,4135.3016380343588,75
3928.7079361790297,4135.3016380343588,75
3929.141948913084,4135.5413503795444,75
3929.2866198244355,4135.6612065521376,76
3929.5759616471387,4135.7810627247309,76
3930.0099743811929,4135.9009188973232,76
3930.2993162038956,4136.0207750699155,76
3930.4439871152463,4136.1406312425088,76
3931.0226707606525,4136.1406312425088,76
3931.1673416720037,4136.260487415102,76
3931.4566834947068,4136.5001997602876,76
3931.8906962287601,4136.6200559328809,76
3931.8906962287601,4136.7399121054732,77
3932.3247089628153,4136.9796244506597,77
3932.6140507855175,4137.099480623252,77
3932.9033926082202,4137.3391929684385,77
3933.0480635195718,4137.4590491410308,77
3933.3374053422749,4137.5789053136241,77
3933.7714180763292,4137.6987614862164,77
3934.0607598990318,4137.9384738314029,77
3934.4947726330865,4138.1781861765876,77
