# One slow shallow curve drawn by hand on a Wacom DTH246 pen display, taken through
# WinPenKit's Wintab digitizer context in Scribble.Avalonia. Paired with
# qt-wintab-stroke-1.75x.csv, drawn by the same hand at the same speed minutes apart on the
# same display, so the difference between the two files is the input path.
# Display scale 1.75x. Mean turn angle 3.93 deg, path 2137px, mean segment 1.02px.
# Distinct from wintab-digitizer-stroke.csv, which is the same context at 2.25x on a 4K
# panel: point density changes with display scale, so the two are not interchangeable.
# Pen stroke recorded from a live session, in desktop pixels.
# Source: WintabDigitizerSession
# MaxPressure: 32767
# Captured: 2026-09-12 20:00:30, 2107 points
desktopX,desktopY,pressure
2303.2012858088306,2631.915535444947,68
2303.2012858088306,2631.915535444947,92
2303.2012858088306,2631.915535444947,120
2303.2012858088306,2631.915535444947,172
2303.2012858088306,2631.915535444947,184
2305.6700387633546,2632.518853695324,204
2306.105701049447,2632.518853695324,380
2306.5413633355392,2632.6395173454,508
2306.977025621632,2632.760180995475,592
2307.4126879077244,2632.760180995475,680
2307.9935709558476,2632.8808446455505,748
2308.42923324194,2633.001508295626,808
2308.8648955280323,2633.001508295626,876
2309.300557814125,2633.122171945701,932
2309.8814408622484,2633.242835595777,976
2310.3171031483407,2633.3634992458524,1052
2310.752765434433,2633.3634992458524,1108
2311.188427720526,2633.604826546003,1168
2311.624090006618,2633.725490196078,1248
2312.0597522927105,2633.846153846154,1296
2312.495414578803,2634.0874811463045,1344
2312.9310768648957,2634.20814479638,1400
2313.366739150988,2634.3288084464557,1432
2313.8024014370803,2634.449472096531,1464
2314.238063723173,2634.5701357466064,1504
2314.8189467712964,2634.6907993966815,1544
2315.2546090573887,2634.811463046757,1576
2315.690271343481,2634.9321266968327,1620
2316.1259336295734,2635.052790346908,1648
2316.561595915666,2635.1734539969834,1680
2316.9972582017585,2635.294117647059,1716
2317.578141249882,2635.414781297134,1740
2318.013803535974,2635.414781297134,1756
2318.449465822067,2635.656108597285,1776
2318.8851281081593,2635.656108597285,1796
2319.3207903942516,2635.897435897436,1816
2319.6112319183135,2635.897435897436,1840
2320.046894204406,2636.1387631975867,1868
2320.627777252529,2636.1387631975867,1892
2321.0634395386214,2636.3800904977375,1932
2321.499101824714,2636.500754147813,1952
2321.9347641108066,2636.621417797888,1984
2322.370426396899,2636.7420814479638,2020
2322.8060886829912,2636.8627450980393,2048
2323.241750969084,2637.10407239819,2080
2323.5321924931454,2637.2247360482656,2128
2323.9678547792378,2637.3453996983408,2172
2324.2582963032996,2637.5867269984915,2204
2324.693958589392,2637.707390648567,2252
2324.984400113454,2637.8280542986427,2292
2325.420062399546,2638.0693815987934,2332
2325.710503923608,2638.190045248869,2388
2326.1461662097004,2638.4313725490197,2420
2326.436607733762,2638.6726998491704,2468
2326.8722700198546,2638.914027149321,2512
2327.307932305947,2639.1553544494723,2544
2327.5983738300083,2639.396681749623,2580
2327.88881535407,2639.6380090497737,2624
2328.3244776401625,2639.8793363499244,2652
2328.6149191642244,2640.1206636500756,2680
2329.0505814503167,2640.3619909502263,2696
2329.486243736409,2640.603318250377,2720
2329.776685260471,2640.8446455505277,2740
2330.2123475465633,2641.085972850679,2764
2330.502789070625,2641.3273001508296,2780
2330.9384513567175,2641.5686274509803,2804
2331.37411364281,2641.809954751131,2824
2331.809775928902,2641.9306184012066,2844
2332.245438214995,2642.1719457013573,2860
2332.6811005010873,2642.4132730015085,2884
2332.971542025149,2642.5339366515836,2900
2333.5524250732724,2642.6546003016592,2920
2333.9880873593647,2642.7752639517344,2936
2334.423749645457,2642.89592760181,2952
2334.8594119315494,2643.1372549019607,2968
2335.295074217642,2643.1372549019607,2996
2335.7307365037345,2643.378582202112,3024
2336.166398789827,2643.499245852187,3048
2336.6020610759197,2643.6199095022625,3096
2337.037723362012,2643.7405731523377,3140
2337.4733856481043,2643.8612368024133,3176
2337.9090479341967,2643.981900452489,3212
2338.3447102202895,2644.2232277526396,3248
2338.780372506382,2644.4645550527903,3252
2339.361255554505,2644.585218702866,3284
2339.7969178405974,2644.8265460030166,3304
2340.3778008887207,2645.0678733031673,3324
2340.8134631748135,2645.188536953243,3328
2341.249125460906,2645.4298642533936,3332
2341.830008509029,2645.6711915535443,3356
2342.2656707951214,2645.9125188536955,3372
2342.7013330812138,2646.153846153846,3376
2343.282216129337,2646.274509803922,3396
2343.71787841543,2646.5158371040725,3400
2344.298761463553,2646.757164404223,3416
2344.8796445116764,2646.998491704374,3420
2345.3153067977687,2647.239819004525,3440
2345.896189845892,2647.481146304676,3444
2346.622293656046,2647.7224736048265,3464
2347.2031767041694,2648.084464555053,3480
2347.7840597522927,2648.3257918552035,3496
2348.364942800416,2648.5671191553542,3496
2348.9458258485392,2648.8084464555054,3516
2349.5267088966625,2649.049773755656,3532
2350.2528127068167,2649.291101055807,3536
2350.83369575494,2649.5324283559576,3564
2351.4145788030633,2649.894419306184,3564
2352.1406826132175,2650.135746606335,3588
2352.8667864233717,2650.3770739064857,3604
2353.447669471495,2650.6184012066365,3620
2354.1737732816487,2650.859728506787,3620
2354.754656329772,2651.1010558069383,3648
2355.480760139926,2651.342383107089,3668
2356.2068639500803,2651.7043740573154,3688
2356.9329677602345,2651.945701357466,3712
2357.6590715703887,2652.3076923076924,3740
2358.5303961425734,2652.549019607843,3760
2359.2564999527276,2652.790346907994,3780
2359.982603762882,2653.15233785822,3796
2360.708707573036,2653.393665158371,3816
2361.4348113831898,2653.634992458522,3820
2362.160915193344,2653.8763197586727,3840
2363.032239765529,2654.238310708899,3844
2363.7583435756833,2654.4796380090497,3848
2364.484447385837,2654.6003016591253,3872
2365.355771958022,2654.841628959276,3872
2366.0818757681764,2655.0829562594267,3872
2366.953200340361,2655.3242835595775,3896
2367.6793041505152,2655.5656108597286,3896
2368.4054079606694,2655.6862745098038,3916
2369.1315117708236,2655.8069381598793,3944
2369.8576155809774,2655.927601809955,3968
2370.5837193911316,2656.1689291101056,4004
2371.309823201286,2656.289592760181,4040
2372.181147773471,2656.4102564102564,4072
2372.9072515836247,2656.651583710407,4096
2373.633355393779,2656.7722473604827,4124
2374.359459203933,2656.8929110105582,4144
2375.0855630140873,2657.134238310709,4164
2375.6664460622105,2657.3755656108597,4184
2376.3925498723647,2657.4962292609353,4192
2377.1186536825185,2657.737556561086,4212
2377.6995367306417,2657.8582202111616,4216
2378.425640540796,2658.0995475113123,4244
2379.006523588919,2658.340874811463,4244
2379.5874066370425,2658.4615384615386,4268
2380.1682896851657,2658.7028657616893,4272
2380.749172733289,2658.94419306184,4304
2381.3300557814123,2659.0648567119156,4324
2381.910938829536,2659.185520361991,4344
2382.4918218776593,2659.3061840120663,4348
2383.0727049257825,2659.547511312217,4376
2383.653587973906,2659.6681749622926,4396
2384.234471022029,2659.9095022624433,4400
2384.8153540701524,2660.030165912519,4404
2385.3962371182756,2660.1508295625945,4408
2385.977120166399,2660.392156862745,4412
2386.4127824524912,2660.5128205128203,4416
2386.9936655006145,2660.633484162896,4440
2387.5745485487378,2660.8748114630466,4440
2388.155431596861,2660.995475113122,4464
2388.7363146449843,2661.116138763198,4468
2389.3171976931076,2661.3574660633485,4500
2389.898080741231,2661.4781297134236,4524
2390.478963789354,2661.598793363499,4528
2391.2050675995083,2661.719457013575,4556
2391.7859506476316,2661.9607843137255,4580
2392.366833695755,2662.081447963801,4604
2392.947716743878,2662.322775263952,4632
2393.5285997920014,2662.5641025641025,4656
2393.964262078094,2662.684766214178,4660
2394.5451451262174,2662.926093514329,4692
2395.1260281743407,2663.0467571644044,4716
2395.706911222464,2663.288084464555,4740
2396.2877942705873,2663.529411764706,4744
2396.7234565566796,2663.6500754147814,4772
2397.449560366834,2663.891402714932,4796
2398.030443414957,2664.132730015083,4800
2398.6113264630803,2664.2533936651585,4824
2399.0469887491727,2664.3740573152336,4828
2399.627871797296,2664.6153846153848,4852
2400.208754845419,2664.73604826546,4860
2400.7896378935425,2664.8567119155355,4864
2401.3705209416657,2665.098039215686,4888
2401.951403989789,2665.2187028657618,4912
2402.5322870379123,2665.339366515837,4916
2403.1131700860356,2665.4600301659125,4960
2403.5488323721283,2665.580693815988,4964
2404.274936182282,2665.822021116139,5000
2404.855819230406,2666.0633484162895,5004
2405.436702278529,2666.184012066365,5040
2406.0175853266524,2666.425339366516,5044
2406.5984683747756,2666.6666666666665,5068
2407.3245721849294,2666.787330316742,5092
2407.9054552330526,2667.028657616893,5096
2408.631559043207,2667.2699849170435,5100
2409.21244209133,2667.5113122171947,5108
2409.7933251394534,2667.7526395173454,5148
2410.5194289496076,2667.873303167421,5148
2411.2455327597618,2668.1146304675717,5156
2411.826415807885,2668.3559577677224,5184
2412.5525196180392,2668.597285067873,5184
2413.2786234281934,2668.7179487179487,5212
2413.8595064763167,2668.9592760180994,5216
2414.5856102864705,2669.20060331825,5216
2415.1664933345937,2669.3212669683257,5220
2415.892597144748,2669.683257918552,5228
2416.618700954902,2669.9245852187028,5232
2417.3448047650563,2670.0452488687783,5260
2418.0709085752105,2670.286576168929,5268
2418.7970123853643,2670.52790346908,5272
2419.5231161955185,2670.769230769231,5276
2420.2492200056727,2671.0105580693817,5308
2420.975323815827,2671.131221719457,5336
2421.8466483880115,2671.372549019608,5344
2422.7179729601967,2671.6138763197587,5352
2423.589297532382,2671.8552036199094,5376
2424.4606221045665,2672.0965309200606,5384
2425.3319466767516,2672.3378582202113,5388
2426.2032712489363,2672.579185520362,5392
2427.219816583152,2672.8205128205127,5396
2428.091141155337,2673.061840120664,5404
2429.1076864895526,2673.3031674208146,5412
2430.1242318237687,2673.5444947209653,5444
2430.9955563959534,2673.785822021116,5448
2432.0121017301694,2673.9064856711916,5456
2433.028647064385,2674.1478129713423,5496
2434.0451923986006,2674.389140271493,5500
2435.0617377328167,2674.7511312217193,5536
2436.2235038290632,2674.9924585218705,5564
2437.38526992531,2675.233785822021,5588
2438.4018152595254,2675.475113122172,5596
2439.563581355772,2675.7164404223226,5632
2440.5801266899875,2675.957767722474,5668
2441.741892786234,2676.1990950226245,5700
2442.903658882481,2676.3197586726997,5740
2444.0654249787276,2676.561085972851,5748
2445.227191074974,2676.8024132730015,5784
2446.3889571712207,2677.0437405731523,5816
2447.550723267467,2677.164404223228,5824
2448.7124893637138,2677.4057315233786,5856
2449.8742554599603,2677.526395173454,5888
2451.036021556207,2677.6470588235293,5920
2452.1977876524534,2677.8883861236804,5952
2453.3595537487,2678.0090497737556,5992
2454.5213198449464,2678.2503770739063,6020
2455.683085941193,2678.4917043740575,6060
2456.699631275409,2678.733031674208,6100
2457.7161766096247,2678.8536953242838,6140
2458.877942705871,2679.0950226244345,6172
2459.894488040087,2679.336349924585,6204
2461.0562541363333,2679.577677224736,6208
2462.0727994705494,2679.6983408748115,6212
2463.089344804765,2679.819004524887,6248
2464.2511109010115,2680.060331825038,6252
2465.2676562352276,2680.180995475113,6252
2466.284201569443,2680.3016591251885,6256
2467.300746903659,2680.422322775264,6292
2468.4625129999054,2680.542986425339,6292
2469.4790583341214,2680.542986425339,6300
2470.495603668337,2680.663650075415,6308
2471.3669282405217,2680.7843137254904,6312
2472.3834735747378,2680.7843137254904,6316
2473.4000189089534,2680.9049773755655,6320
2474.416564243169,2680.9049773755655,6320
2475.287888815354,2681.025641025641,6324
2476.3044341495697,2681.025641025641,6328
2477.175758721755,2681.025641025641,6328
2478.0470832939395,2681.1463046757162,6376
2478.9184078661247,2681.1463046757162,6380
2479.7897324383093,2681.266968325792,6380
2480.6610570104945,2681.266968325792,6380
2481.5323815826796,2681.266968325792,6384
2482.2584853928333,2681.3876319758674,6388
2483.1298099650185,2681.3876319758674,6396
2483.8559137751727,2681.5082956259425,6404
2484.7272383473573,2681.628959276018,6408
2485.4533421575115,2681.628959276018,6420
2486.1794459676657,2681.7496229260937,6456
2487.0507705398504,2681.870286576169,6456
2487.7768743500046,2681.870286576169,6460
2488.502978160159,2681.9909502262444,6468
2489.229081970313,2682.1116138763196,6472
2489.955185780467,2682.3529411764707,6480
2490.681289590621,2682.473604826546,6488
2491.407393400775,2682.5942684766214,6496
2492.1334972109294,2682.714932126697,6500
2492.8596010210836,2682.835595776772,6512
2493.5857048312378,2683.076923076923,6512
2494.3118086413915,2683.076923076923,6524
2495.0379124515457,2683.318250377074,6556
2495.7640162617,2683.438914027149,6560
2496.344899309823,2683.5595776772248,6564
2497.0710031199774,2683.6802413273003,6572
2497.6518861681006,2683.8009049773755,6576
2498.232769216224,2684.042232277526,6584
2498.813652264347,2684.1628959276018,6588
2499.3945353124705,2684.2835595776774,6588
2500.1206391226247,2684.4042232277525,6592
2500.701522170748,2684.524886877828,6596
2501.282405218871,2684.6455505279037,6600
2501.8632882669945,2684.766214177979,6604
2502.4441713151177,2684.8868778280544,6612
2503.025054363241,2685.128205128205,6612
2503.751158173395,2685.2488687782807,6620
2504.3320412215185,2685.369532428356,6628
2504.9129242696417,2685.610859728507,6628
2505.493807317765,2685.731523378582,6636
2506.219911127919,2685.8521870286577,6640
2506.8007941760425,2685.972850678733,6644
2507.3816772241657,2686.0935143288084,6648
2507.962560272289,2686.214177978884,6656
2508.5434433204123,2686.334841628959,6656
2509.1243263685355,2686.4555052790347,6664
2509.705209416659,2686.5761689291103,6672
2510.286092464782,2686.6968325791854,6676
2510.8669755129054,2686.817496229261,6684
2511.5930793230596,2686.938159879336,6692
2512.173962371183,2687.0588235294117,6700
2512.754845419306,2687.0588235294117,6708
2513.3357284674294,2687.1794871794873,6716
2513.9166115155526,2687.3001508295624,6720
2514.642715325707,2687.5414781297136,6720
2515.22359837383,2687.6621417797887,6732
2515.8044814219534,2687.7828054298643,6736
2516.3853644700766,2687.9034690799394,6744
2517.111468280231,2688.024132730015,6756
2517.692351328354,2688.1447963800906,6760
2518.4184551385083,2688.2654600301657,6772
2519.144558948662,2688.3861236802413,6780
2519.7254419967853,2688.506787330317,6784
2520.3063250449086,2688.627450980392,6796
2521.032428855063,2688.7481146304676,6804
2521.613311903186,2688.868778280543,6808
2522.3394157133403,2688.9894419306183,6816
2523.0655195234945,2689.110105580694,6824
2523.6464025716177,2689.3514328808446,6832
2524.372506381772,2689.5927601809954,6872
2525.0986101919257,2689.713423831071,6876
2525.82471400208,2689.9547511312217,6876
2526.550817812234,2690.0754147812972,6888
2527.2769216223883,2690.316742081448,6896
2528.0030254325425,2690.5580693815987,6904
2528.729129242696,2690.79939668175,6944
2529.4552330528504,2691.0407239819006,6948
2530.3265576250355,2691.2820512820513,6952
2531.0526614351897,2691.402714932127,6956
2531.9239860073744,2691.6440422322776,6964
2532.6500898175286,2691.8853695324283,6964
2533.5214143897138,2692.006033182504,6972
2534.2475181998675,2692.2473604826546,6976
2535.1188427720526,2692.36802413273,6980
2535.9901673442373,2692.609351432881,6988
2537.0067126784534,2692.7300150829565,7000
2537.878037250638,2692.8506787330316,7012
2538.749361822823,2692.971342383107,7052
2539.620686395008,2693.212669683258,7060
2540.492010967193,2693.3333333333335,7064
2541.5085563014086,2693.574660633484,7108
2542.3798808735937,2693.815987933635,7112
2543.3964262078093,2693.9366515837105,7112
2544.2677507799945,2694.0573152337856,7120
2545.28429611421,2694.298642533937,7132
2546.3008414484257,2694.5399698340875,7136
2547.172166020611,2694.7812971342382,7148
2548.1887113548264,2694.901960784314,7156
2549.2052566890425,2695.022624434389,7164
2550.076581261227,2695.26395173454,7208
2551.0931265954428,2695.3846153846152,7216
2552.109671929659,2695.505279034691,7216
2553.1262172638744,2695.6259426847664,7228
2554.14276259809,2695.867269984917,7272
2555.159307932306,2695.9879336349923,7276
2556.1758532665217,2696.108597285068,7284
2557.1923986007373,2696.3499245852186,7296
2558.2089439349534,2696.470588235294,7308
2559.225489269169,2696.5912518853697,7360
2560.2420346033846,2696.8325791855204,7404
2561.2585799376006,2696.9532428355956,7416
2562.2751252718163,2697.073906485671,7488
2563.291670606032,2697.315233785822,7532
2564.4534367022784,2697.4358974358975,7544
2565.4699820364945,2697.556561085973,7608
2566.48652737071,2697.677224736048,7660
2567.5030727049257,2697.7978883861238,7672
2568.5196180391417,2697.918552036199,7760
2569.5361633733573,2697.918552036199,7768
2570.552708707573,2698.0392156862745,7776
2571.569254041789,2698.15987933635,7788
2572.5857993760046,2698.15987933635,7852
2573.4571239481893,2698.280542986425,7852
2574.4736692824054,2698.401206636501,7860
2575.490214616621,2698.401206636501,7872
2576.361539188806,2698.5218702865764,7884
2577.3780845230217,2698.5218702865764,7896
2578.3946298572373,2698.6425339366515,7948
2579.4111751914534,2698.763197586727,7956
2580.282499763638,2698.763197586727,8020
2581.2990450978537,2698.883861236802,8032
2582.3155904320697,2698.883861236802,8040
2583.1869150042544,2698.883861236802,8092
2584.2034603384704,2699.004524886878,8100
2585.220005672686,2699.004524886878,8104
2586.0913302448707,2699.1251885369534,8116
2587.107875579087,2699.1251885369534,8124
2587.9792001512715,2699.1251885369534,8176
2588.9957454854875,2699.2458521870285,8184
2590.012290819703,2699.2458521870285,8196
2591.0288361539187,2699.2458521870285,8208
2591.900160726104,2699.366515837104,8284
2592.9167060603195,2699.366515837104,8296
2593.7880306325046,2699.366515837104,8304
2594.80457596672,2699.366515837104,8320
2595.6759005389054,2699.4871794871797,8336
2596.54722511109,2699.4871794871797,8392
