# One stroke drawn by hand on a Wacom DTH246, 13 Sep 2026, through Scribble.Wpf on the
# WPF Stylus backend (StylusEventArgs.Timestamp).
#
# This recording splits a claim the docs had run together. The clock is a MILLISECOND
# clock, not a 15.6ms one: sixteen gaps of exactly 1000us appear, scattered through the
# stroke rather than bunched at its start, so the field does express a millisecond. What
# steps by 15.6ms is the DELIVERY -- 531 gaps of 16000us and 329 of 15000us, the Windows
# timer tick -- and WPF hands a whole StylusPointCollection one timestamp per event.
#
# So: 2442 points, 885 distinct timestamps, about three points to a value for the length
# of the stroke. The batching is the effect that reaches a caller, and it would survive a
# finer clock. The 15.6ms figure this page used to carry described the batch cadence and
# was attributed to the clock.
#
# 2442 points across a 13.562s span is 180.1 Hz, the same device the other four hardware
# recordings measured.
#
# Pen stroke recorded from a live session, in desktop pixels.
# Source: WpfStylusSession
# MaxPressure: 1024
# Captured: 2026-09-13 02:29:38, 2442 points
# Timestamp: SystemTicks
desktopX,desktopY,pressure,timeUs
2214.329691457869,2570.0553605761893,2,0
2214.329691457869,2570.0553605761893,4,1000
2214.329691457869,2570.0553605761893,6,1000
2214.329691457869,2570.0553605761893,7,16000
2214.329691457869,2570.0553605761893,8,16000
2215.5016022217474,2570.714560380871,8,16000
2215.735984374523,2570.934293649098,8,31000
2215.9703665272987,2571.0441602832116,8,31000
2216.43913083285,2571.2638935514387,9,31000
2216.43913083285,2571.483626819666,10,47000
2216.9078951384013,2571.703360087893,10,47000
2217.142277291177,2571.8132267220067,18,62000
2217.3766594439526,2572.0329599902343,22,62000
2217.6110415967282,2572.0329599902343,23,62000
2217.845423749504,2572.1428266243474,24,78000
2218.314188055055,2572.2526932584615,25,78000
2218.548570207831,2572.3625598925746,25,78000
2218.7829523606065,2572.582293160802,26,94000
2219.017334513382,2572.802026429029,26,94000
2219.486098818934,2572.911893063143,26,94000
2219.7204809717095,2573.021759697256,26,109000
2220.189245277261,2573.13162633137,26,109000
2220.4236274300365,2573.13162633137,27,109000
2220.658009582812,2573.2414929654833,27,125000
2221.1267738883635,2573.2414929654833,28,125000
2221.5955381939148,2573.2414929654833,30,125000
2222.064302499466,2573.3513595995973,31,141000
2222.2986846522417,2573.3513595995973,32,141000
2222.767448957793,2573.3513595995973,33,141000
2223.2362132633443,2573.3513595995973,34,156000
2223.7049775688956,2573.3513595995973,36,156000
2224.173741874447,2573.3513595995973,37,156000
2224.6425061799982,2573.3513595995973,38,172000
2225.1112704855495,2573.3513595995973,40,172000
2225.580034791101,2573.4612262337105,41,187000
2226.283181249428,2573.5710928678245,42,187000
2226.5175634022035,2573.680959501938,44,187000
2226.9863277077548,2573.7908261360517,45,203000
2227.455092013306,2574.1204260383925,46,203000
2228.158238471633,2574.230292672506,47,203000
2228.3926206244087,2574.450025940733,48,219000
2229.0957670827356,2574.6697592089604,49,219000
2229.564531388287,2574.779625843074,50,219000
2230.033295693838,2574.999359111301,51,234000
2230.5020599993895,2575.2190923795283,52,234000
2231.2052064577165,2575.548692281869,52,250000
2231.9083529160434,2575.6585589159827,53,250000
2232.142735068819,2575.87829218421,54,250000
2232.6114993743704,2575.9881588183234,55,267000
2233.0802636799217,2576.2078920865506,55,267000
2233.7834101382487,2576.5374919888914,56,267000
2234.2521744438,2576.867091891232,57,281000
2234.955320902127,2577.0868251594593,58,281000
2235.1897030549026,2577.3065584276865,59,281000
2235.89284951323,2577.4164250618,60,297000
2236.3616138187813,2577.6361583300272,60,297000
2237.0647602771082,2578.0756248664816,61,312000
2237.5335245826595,2578.2953581347087,62,312000
2238.2366710409865,2578.515091402936,62,312000
2238.9398174993134,2578.6249580370495,63,328000
2239.4085818048648,2578.8446913052767,64,328000
2239.877346110416,2579.064424573504,64,328000
2240.580492568743,2579.3940244758446,65,344000
2241.0492568742943,2579.613757744072,65,344000
2241.7524033326213,2579.9433576464126,66,344000
2242.2211676381726,2580.053224280526,66,359000
2242.9243140964995,2580.2729575487533,67,359000
2243.6274605548265,2580.4926908169805,67,359000
2244.096224860378,2580.8222907193212,68,375000
2244.7993713187047,2581.0420239875484,68,375000
2245.5025177770317,2581.2617572557756,68,375000
2245.971282082583,2581.371623889889,69,391000
2246.67442854091,2581.5913571581164,70,391000
2247.1431928464613,2581.8110904263435,70,391000
2247.6119571520126,2582.1406903286843,71,406000
2248.549485763115,2582.250556962798,72,406000
2249.0182500686665,2582.470290231025,73,422000
2249.7213965269934,2582.5801568651386,74,422000
2250.4245429853204,2582.690023499252,75,422000
2251.127689443648,2582.799890133366,76,437000
2251.596453749199,2583.019623401593,77,437000
2252.299600207526,2583.3492233039337,78,437000
2253.002746665853,2583.3492233039337,78,453000
2253.4715109714043,2583.568956572161,79,453000
2254.1746574297313,2583.6788232062745,79,453000
2254.877803888058,2583.788689840388,80,469000
2255.3465681936095,2583.8985564745017,80,469000
2256.0497146519365,2583.8985564745017,81,484000
2256.7528611102634,2584.0084231086153,81,484000
2257.2216254158147,2584.118289742729,81,484000
2257.690389721366,2584.2281563768424,82,500000
2258.393536179693,2584.4478896450696,82,500000
2258.8623004852443,2584.667622913297,83,500000
2259.3310647907956,2584.7774895474104,83,516000
2260.268593401898,2584.9972228156375,83,516000
2260.502975554674,2585.2169560838647,84,516000
2261.206122013001,2585.3268227179783,84,531000
2261.674886318552,2585.436689352092,84,531000
2262.1436506241034,2585.7662892544326,84,547000
2262.8467970824304,2586.0958891567734,85,547000
2263.3155613879817,2586.3156224250006,85,547000
2264.0187078463086,2586.5353556932278,85,547000
2264.7218543046356,2586.755088961455,86,562000
2265.190618610187,2587.0846888637957,87,562000
2265.893765068514,2587.304422132023,87,578000
2266.362529374065,2587.52415540025,88,578000
2267.065675832392,2587.6340220343636,89,578000
2267.7688222907195,2587.853755302591,90,594000
