# One slow shallow curve drawn by hand on a Wacom tablet, taken through a Wintab
# digitizer context. Paired with wpf-stylus-stroke.csv, drawn by the same hand at the
# same speed minutes apart, for comparing what the two input paths resolve.
# Display scale 2.25x. Mean turn angle 2.91 deg, path 1602px, mean segment 1.55px.
# Pen stroke recorded from a live session, in desktop pixels.
# Source: WintabDigitizerSession
# Captured: 2026-09-12 08:06:38, 1043 points
desktopX,desktopY,pressure
2451.471683842299,2763.5595776772248,4
2451.471683842299,2763.5595776772248,64
2451.471683842299,2763.5595776772248,124
2451.471683842299,2763.5595776772248,176
2451.471683842299,2763.5595776772248,176
2451.471683842299,2763.5595776772248,176
2451.471683842299,2763.5595776772248,200
2454.085657558854,2765.0075414781295,224
2454.376099082916,2765.128205128205,240
2454.8117613690083,2765.369532428356,244
2455.2474236551006,2765.610859728507,244
2455.5378651791625,2765.731523378582,336
2455.973527465255,2765.972850678733,396
2456.2639689893163,2766.214177978884,432
2456.554410513378,2766.4555052790347,444
2456.9900727994705,2766.5761689291103,472
2457.2805143235323,2766.817496229261,496
2457.5709558475937,2767.0588235294117,532
2458.0066181336865,2767.1794871794873,560
2458.442280419779,2767.420814479638,576
2458.877942705871,2767.5414781297136,592
2459.3136049919635,2767.7828054298643,624
2459.7492672780563,2767.9034690799394,660
2460.1849295641487,2768.1447963800906,700
2460.620591850241,2768.2654600301657,752
2461.0562541363333,2768.506787330317,800
2461.491916422426,2768.7481146304676,840
2461.9275787085185,2768.868778280543,888
2462.363240994611,2769.110105580694,924
2462.7989032807036,2769.3514328808446,960
2463.234565566796,2769.5927601809954,1008
2463.6702278528883,2769.713423831071,1060
2464.2511109010115,2770.0754147812972,1100
2464.686773187104,2770.316742081448,1148
2465.1224354731967,2770.5580693815987,1188
2465.558097759289,2770.79939668175,1232
2465.9937600453814,2771.1613876319757,1280
2466.429422331474,2771.402714932127,1324
2466.8650846175665,2771.6440422322776,1356
2467.4459676656897,2772.006033182504,1408
2467.881629951782,2772.2473604826546,1444
2468.3172922378744,2772.609351432881,1476
2468.8981752859977,2772.971342383107,1524
2469.3338375720905,2773.212669683258,1572
2469.769499858183,2773.574660633484,1596
2470.205162144275,2773.9366515837105,1636
2470.640824430368,2774.177978883861,1668
2471.221707478491,2774.419306184012,1692
2471.6573697645836,2774.7812971342382,1724
2472.238252812707,2775.022624434389,1752
2472.81913586083,2775.3846153846152,1764
2473.2547981469224,2775.6259426847664,1784
2473.8356811950457,2775.867269984917,1804
2474.416564243169,2776.108597285068,1832
2474.9974472912922,2776.3499245852186,1868
2475.5783303394155,2776.5912518853697,1896
2476.0139926255083,2776.8325791855204,1928
2476.5948756736316,2777.073906485671,1972
2477.030537959724,2777.315233785822,2012
2477.611421007847,2777.677224736048,2048
2478.1923040559705,2777.918552036199,2084
2478.627966342063,2778.0392156862745,2116
2479.208849390186,2778.280542986425,2148
2479.644511676279,2778.5218702865764,2192
2480.225394724402,2778.763197586727,2224
2480.8062777725254,2779.004524886878,2248
2481.2419400586177,2779.2458521870285,2296
2481.822823106741,2779.366515837104,2336
2482.4037061548643,2779.607843137255,2376
2482.8393684409566,2779.8491704374055,2416
2483.2750307270494,2780.0904977375567,2460
2483.8559137751727,2780.3318250377074,2492
2484.291576061265,2780.573152337858,2532
2484.8724591093883,2780.814479638009,2564
2485.4533421575115,2781.176470588235,2588
2485.889004443604,2781.4177978883863,2608
2486.469887491727,2781.659125188537,2632
2487.0507705398504,2781.9004524886877,2656
2487.6316535879737,2782.262443438914,2680
2488.2125366360974,2782.5037707390647,2704
2488.7934196842207,2782.7450980392155,2732
2489.374302732344,2782.9864253393666,2776
2489.955185780467,2783.2277526395173,2824
2490.5360688285905,2783.469079939668,2860
2491.1169518767138,2783.710407239819,2924
2491.697834924837,2783.95173453997,2980
2492.2787179729603,2784.1930618401207,3024
2493.0048217831145,2784.4343891402714,3068
2493.5857048312378,2784.555052790347,3108
2494.3118086413915,2784.9170437405733,3140
2494.892691689515,2785.158371040724,3184
2495.618795499669,2785.2790346907996,3220
2496.1996785477922,2785.5203619909503,3256
2496.7805615959155,2785.761689291101,3292
2497.361444644039,2786.0030165912517,3324
2497.942327692162,2786.1236802413273,3356
2498.5232107402853,2786.365007541478,3392
2499.2493145504395,2786.606334841629,3420
2499.830197598563,2786.84766214178,3452
2500.556301408717,2786.968325791855,3488
2501.1371844568403,2787.209653092006,3516
2501.7180675049635,2787.450980392157,3540
2502.298950553087,2787.5716440422325,3568
2502.87983360121,2787.6923076923076,3600
2503.4607166493333,2787.9336349924583,3620
2504.0415996974566,2788.054298642534,3648
2504.62248274558,2788.1749622926095,3676
2505.203365793703,2788.41628959276,3680
2505.7842488418264,2788.536953242836,3720
2506.3651318899497,2788.657616892911,3752
2506.9460149380734,2788.8989441930617,3784
2507.5268979861967,2789.0196078431372,3816
2508.10778103432,2789.140271493213,3840
2508.688664082443,2789.260935143288,3868
2509.2695471305665,2789.502262443439,3904
