# One slow shallow curve drawn by hand on a Wacom DTH246 pen display, 13 Sep 2026, through
# Scribble.WinUINative on the Wintab hi-res digitizer context.
#
# The first recording in this repository taken on real hardware with a time column, and so the
# only measurement of Wintab's pkTime that exists: 1683 points, 1683 distinct timestamps, gaps
# of 5ms or 6ms averaging 5555us for a 180 Hz device. No repeats, no backward steps.
#
# Pressure confirms the DTH246 resolves in steps of 4 across its declared 0..32767 range, so
# 8192 levels rather than 32767: 99.7% of the gaps between distinct pressures are multiples
# of 4, and the smallest step is exactly 4. Reproduced here on a different code path from the
# earlier measurement -- the native C ABI rather than the managed Avalonia sample.
#
# Coordinates are genuinely sub-pixel: none of the 1683 points lands on a whole pixel.
#
# Pen stroke recorded from a live session, in desktop pixels.
# Source: Wintab (high-res)
# MaxPressure: 32767
# Captured: 1683 points
# Timestamp: DeviceTicks
desktopX,desktopY,pressure,timeUs
2278.5137562635909,2529.7134238310709,88,0
2278.5137562635909,2529.7134238310709,104,5000
2278.5137562635909,2529.7134238310709,104,11000
2278.5137562635909,2529.7134238310709,104,16000
2278.5137562635909,2529.7134238310709,104,22000
2278.5137562635909,2529.7134238310709,104,27000
2278.5137562635909,2529.7134238310709,128,33000
2280.5468469320222,2530.7993966817498,164,39000
2280.837288456084,2531.0407239819006,204,44000
2281.1277299801454,2531.1613876319757,232,50000
2281.4181715042073,2531.2820512820513,268,55000
2281.5633922662382,2531.4027149321269,288,61000
2281.9990545523306,2531.523378582202,300,66000
2282.289496076392,2531.7647058823532,312,72000
2282.7251583624848,2531.8853695324283,316,77000
2283.306041410608,2532.0060331825039,328,83000
2283.7417036967004,2532.126696832579,328,89000
2284.3225867448236,2532.2473604826546,340,94000
2284.758249030916,2532.3680241327302,344,100000
2285.1939113170088,2532.4886877828053,356,105000
2285.6295736031011,2532.6093514328809,372,111000
2285.9200151271625,2532.7300150829565,404,116000
2286.3556774132553,2532.8506787330316,472,122000
2286.6461189373167,2532.9713423831072,516,127000
2287.0817812234095,2532.9713423831072,544,133000
2287.5174435095018,2533.0920060331823,596,139000
2288.0983265576251,2533.2126696832579,628,144000
2288.6792096057484,2533.3333333333335,652,150000
2289.2600926538717,2533.5746606334842,700,155000
2289.9861964640259,2533.6953242835598,752,161000
2290.5670795121491,2533.9366515837105,796,166000
2291.1479625602724,2534.0573152337856,840,172000
2291.5836248463647,2534.2986425339368,872,177000
2292.164507894488,2534.5399698340875,888,183000
2292.7453909426113,2534.6606334841631,908,189000
2293.3262739907345,2534.7812971342382,936,194000
2293.9071570388578,2535.0226244343889,968,200000
2294.4880400869811,2535.1432880844645,996,205000
2295.0689231351043,2535.3846153846152,1032,211000
2295.5045854211971,2535.5052790346908,1056,216000
2296.0854684693204,2535.7466063348415,1076,222000
2296.6663515174437,2535.9879336349923,1104,227000
2297.2472345655669,2536.1085972850678,1128,233000
2297.8281176136902,2536.3499245852186,1148,239000
2298.2637798997825,2536.5912518853697,1160,244000
2298.8446629479058,2536.8325791855204,1172,250000
2299.4255459960291,2536.9532428355956,1188,255000
2300.0064290441524,2537.0739064856712,1204,261000
2300.5873120922756,2537.3152337858219,1216,266000
2301.1681951403989,2537.556561085973,1236,272000
2301.7490781885222,2537.6772247360482,1244,277000
2302.3299612366454,2537.9185520361989,1248,283000
2302.9108442847687,2538.1598793363501,1268,289000
2303.491727332892,2538.2805429864252,1284,294000
2303.9273896189848,2538.5218702865764,1304,300000
2304.508272667108,2538.7631975867271,1324,305000
2305.0891557152313,2539.0045248868778,1340,311000
2305.5248180013236,2539.1251885369534,1352,316000
2305.960480287416,2539.3665158371041,1364,322000
2306.5413633355392,2539.6078431372548,1368,327000
2306.977025621632,2539.9698340874811,1372,333000
2307.5579086697553,2540.2111613876318,1372,339000
2308.1387917178786,2540.452488687783,1376,344000
2308.7196747660018,2540.6938159879337,1376,350000
2309.3005578141251,2541.05580693816,1392,355000
2309.8814408622484,2541.2971342383107,1392,361000
2310.6075446724026,2541.659125188537,1396,366000
2311.0432069584949,2542.0211161387633,1412,372000
2311.6240900066182,2542.262443438914,1424,377000
2312.2049730547415,2542.6244343891403,1436,383000
2312.6406353408338,2542.9864253393666,1436,389000
2313.2215183889571,2543.2277526395173,1448,394000
2313.8024014370803,2543.7104072398188,1464,400000
2314.3832844852036,2543.9517345399699,1488,405000
2314.9641675333269,2544.3137254901962,1504,411000
2315.5450505814501,2544.555052790347,1516,416000
2316.1259336295734,2544.9170437405733,1532,422000
2316.7068166776967,2545.158371040724,1536,427000
2317.4329204878509,2545.5203619909503,1548,433000
2318.0138035359741,2545.761689291101,1564,439000
2318.5946865840974,2546.1236802413273,1580,444000
2319.1755696322207,2546.365007541478,1580,450000
2319.756452680344,2546.7269984917043,1596,455000
2320.4825564904982,2546.968325791855,1600,461000
2321.0634395386214,2547.2096530920062,1624,466000
2321.7895433487756,2547.4509803921569,1644,472000
2322.5156471589298,2547.6923076923076,1664,477000
2323.241750969084,2547.9336349924583,1676,483000
2323.9678547792378,2548.1749622926095,1680,489000
2324.8391793514229,2548.4162895927602,1684,494000
2325.5652831615771,2548.6576168929109,1688,500000
2326.2913869717313,2548.8989441930617,1700,505000
2327.017490781885,2549.1402714932128,1700,511000
2327.7435945920392,2549.3815987933635,1704,516000
2328.4696984021934,2549.5022624434391,1708,522000
2329.1958022123476,2549.7435897435898,1708,527000
2329.7766852604709,2549.9849170437406,1712,533000
2330.6480098326556,2550.2262443438913,1724,539000
2331.3741136428098,2550.4675716440424,1736,544000
2332.100217452964,2550.8295625942683,1736,550000
2332.9715420251491,2551.0708898944195,1752,555000
2333.6976458353029,2551.3122171945702,1752,561000
2334.4237496454571,2551.5535444947209,1768,566000
2335.1498534556113,2551.7948717948716,1772,572000
2335.8759572657655,2552.0361990950228,1788,577000
2336.7472818379501,2552.2775263951735,1788,583000
2337.4733856481043,2552.5188536953242,1812,589000
2338.1994894582585,2552.8808446455505,1812,594000
2338.9255932684127,2553.1221719457012,1824,600000
2339.7969178405974,2553.4841628959275,1840,605000
2340.6682424127825,2553.7254901960782,1852,611000
2341.3943462229367,2554.0874811463045,1852,616000
2342.2656707951214,2554.4494720965308,1864,622000
2342.9917746052756,2554.8114630467571,1876,627000
2343.8630991774608,2555.0527903469078,1880,633000
2344.7344237496454,2555.4147812971341,1892,639000
2345.4605275597996,2555.7767722473604,1896,644000
2346.3318521319843,2556.0180995475112,1912,650000
2347.2031767041694,2556.2594268476623,1912,655000
2348.0745012763546,2556.6214177978882,1916,661000
2348.9458258485392,2556.8627450980393,1920,666000
2349.8171504207244,2557.1040723981901,1924,672000
2350.6884749929091,2557.4660633484164,1928,677000
2351.5597995650942,2557.7073906485671,1928,683000
2352.5763448993098,2558.0693815987934,1932,689000
2353.4476694714949,2558.3107088989441,1936,694000
2354.3189940436796,2558.6726998491704,1972,700000
2355.1903186158647,2558.9140271493211,1976,705000
2356.0616431880494,2559.1553544494723,1976,711000
2356.9329677602345,2559.5173453996981,1976,716000
2357.8042923324192,2559.7586726998493,1992,722000
2358.6756169046043,2560,1996,727000
2359.5469414767895,2560.3619909502263,2012,733000
2360.4182660489741,2560.7239819004526,2028,739000
2361.2895906211593,2561.0859728506789,2044,744000
2362.160915193344,2561.4479638009052,2048,750000
2363.0322397655291,2561.809954751131,2060,755000
2363.9035643377138,2562.1719457013573,2064,761000
2364.7748889098989,2562.5339366515836,2076,766000
2365.7914342441145,2562.7752639517344,2088,772000
2366.6627588162996,2563.0165912518855,2092,777000
2367.5340833884843,2563.3785822021118,2092,783000
2368.4054079606694,2563.6199095022625,2104,789000
2369.2767325328541,2563.8612368024133,2108,794000
2370.1480571050392,2564.102564102564,2112,800000
2371.0193816772244,2564.3438914027151,2136,805000
2372.03592701144,2564.4645550527903,2152,811000
2373.0524723456556,2564.705882352941,2168,816000
2373.9237969178407,2564.9472096530922,2184,822000
2374.7951214900254,2565.3092006033185,2204,827000
2375.6664460622105,2565.5505279034692,2216,833000
2376.5377706343952,2565.7918552036199,2236,839000
2377.5543159686113,2566.0331825037706,2240,844000
2378.4256405407959,2566.2745098039218,2256,850000
2379.2969651129811,2566.6365007541476,2272,855000
2380.3135104471967,2566.8778280542988,2272,861000
2381.0396142573509,2567.2398190045251,2284,866000
2381.910938829536,2567.6018099547509,2300,872000
2382.7822634017207,2567.8431372549021,2300,877000
2383.6535879739058,2568.2051282051284,2316,883000
2384.6701333081214,2568.5671191553542,2328,889000
2385.5414578803066,2568.9291101055805,2348,894000
2386.4127824524912,2569.4117647058824,2352,900000
2387.2841070246764,2569.6530920060331,2372,905000
2388.155431596861,2570.0150829562594,2388,911000
2388.8815354070152,2570.3770739064857,2392,916000
2389.7528599792004,2570.739064856712,2408,922000
2390.624184551385,2570.9803921568628,2412,927000
2391.4955091235702,2571.3423831070891,2412,933000
2392.2216129337239,2571.7043740573154,2416,939000
2393.092937505909,2572.0663650075417,2420,944000
2393.8190413160632,2572.4283559577675,2420,950000
2394.6903658882479,2572.6696832579187,2440,955000
2395.4164696984021,2573.031674208145,2452,961000
2396.1425735085563,2573.2730015082957,2452,966000
2397.0138980807415,2573.634992458522,2456,972000
2397.7400018908952,2573.8763197586727,2476,977000
2398.6113264630803,2574.238310708899,2492,983000
2399.3374302732345,2574.4796380090497,2512,988000
2400.0635340833883,2574.7209653092004,2516,994000
2400.7896378935425,2574.9622926093516,2540,1000000
2401.6609624657276,2575.2036199095023,2544,1005000
2402.3870662758818,2575.444947209653,2556,1011000
2403.1131700860356,2575.6862745098038,2560,1016000
