utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:35:08.572Z,50160,before,0000000000000000,67,0.000,270,4,270,4,kill
2026-09-14T17:35:08.625Z,50160,open,0000000000000288,1,44.421,272,4,272,4,index=0;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.678Z,50160,open,0000000000000289,1,45.101,274,4,274,4,index=1;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.729Z,50160,open,000000000000028A,1,44.860,276,4,276,4,index=2;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.781Z,50160,open,000000000000028B,1,44.572,278,4,278,4,index=3;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.837Z,50160,open,000000000000028C,1,47.528,280,4,280,4,index=4;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.890Z,50160,open,000000000000028D,1,47.050,282,4,282,4,index=5;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.944Z,50160,open,000000000000028E,1,45.148,284,4,284,4,index=6;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:08.997Z,50160,open,000000000000028F,1,45.115,286,4,286,4,index=7;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.049Z,50160,open,0000000000000290,1,45.898,288,4,288,4,index=8;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.102Z,50160,open,0000000000000291,1,45.849,290,4,290,4,index=9;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.156Z,50160,open,0000000000000292,1,45.641,292,4,292,4,index=10;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.211Z,50160,open,0000000000000293,1,46.904,294,4,294,4,index=11;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.264Z,50160,open,0000000000000294,1,46.875,296,4,296,4,index=12;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.320Z,50160,open,0000000000000295,1,48.183,298,4,298,4,index=13;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.374Z,50160,open,0000000000000296,1,45.386,300,4,300,4,index=14;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.425Z,50160,open,0000000000000297,1,44.140,302,4,302,4,index=15;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.477Z,50160,open,0000000000000298,1,43.620,304,4,304,4,index=16;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.531Z,50160,open,0000000000000299,1,45.731,306,4,306,4,index=17;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.585Z,50160,open,000000000000029A,1,47.932,308,4,308,4,index=18;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.642Z,50160,open,000000000000029B,1,48.686,310,4,310,4,index=19;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.697Z,50160,open,000000000000029C,1,45.933,312,4,312,4,index=20;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.749Z,50160,open,000000000000029D,1,44.628,314,4,314,4,index=21;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.804Z,50160,open,000000000000029E,1,45.260,316,4,316,4,index=22;device=4294967295;options=0x8015;hwnd=00000000004913DC
2026-09-14T17:35:09.857Z,50160,open,000000000000029F,1,45.337,318,4,318,4,index=23;device=4294967295;options=0x8015;hwnd=00000000004913DC
