utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:35:05.202Z,44524,before,0000000000000000,67,0.000,136,4,136,4,kill
2026-09-14T17:35:05.250Z,44524,open,0000000000000245,1,44.024,138,4,138,4,index=0;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.298Z,44524,open,0000000000000246,1,42.760,140,4,140,4,index=1;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.347Z,44524,open,0000000000000247,1,43.206,142,4,142,4,index=2;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.395Z,44524,open,0000000000000248,1,43.404,144,4,144,4,index=3;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.445Z,44524,open,0000000000000249,1,45.791,146,4,146,4,index=4;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.495Z,44524,open,000000000000024A,1,45.515,148,4,148,4,index=5;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.545Z,44524,open,000000000000024B,1,45.233,150,4,150,4,index=6;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.593Z,44524,open,000000000000024C,1,43.614,152,4,152,4,index=7;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.639Z,44524,open,000000000000024D,1,42.695,154,4,154,4,index=8;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.688Z,44524,open,000000000000024E,1,43.132,156,4,156,4,index=9;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.735Z,44524,open,000000000000024F,1,42.784,158,4,158,4,index=10;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.783Z,44524,open,0000000000000250,1,42.784,160,4,160,4,index=11;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.833Z,44524,open,0000000000000251,1,44.046,162,4,162,4,index=12;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.882Z,44524,open,0000000000000252,1,43.690,164,4,164,4,index=13;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.931Z,44524,open,0000000000000253,1,43.875,166,4,166,4,index=14;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:05.978Z,44524,open,0000000000000254,1,42.957,168,4,168,4,index=15;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.028Z,44524,open,0000000000000255,1,44.484,170,4,170,4,index=16;device=4294967295;options=0x8015;hwnd=00000000004813DC
