utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:35:05.202Z,44524,before,0000000000000000,67,0.000,136,4,136,4,kill
2026-09-14T17:35:06.076Z,44524,open,0000000000000256,1,43.415,172,4,172,4,index=17;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.125Z,44524,open,0000000000000257,1,43.467,174,4,174,4,index=18;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.174Z,44524,open,0000000000000258,1,43.008,176,4,176,4,index=19;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.225Z,44524,open,0000000000000259,1,45.756,178,4,178,4,index=20;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.278Z,44524,open,000000000000025A,1,46.725,180,4,180,4,index=21;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.328Z,44524,open,000000000000025B,1,43.969,182,4,182,4,index=22;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.377Z,44524,open,000000000000025C,1,44.196,184,4,184,4,index=23;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.425Z,44524,open,000000000000025D,1,42.325,186,4,186,4,index=24;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.473Z,44524,open,000000000000025E,1,41.952,188,4,188,4,index=25;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.523Z,44524,open,000000000000025F,1,43.306,190,4,190,4,index=26;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.570Z,44524,open,0000000000000260,1,42.682,192,4,192,4,index=27;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.617Z,44524,open,0000000000000261,1,42.184,194,4,194,4,index=28;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.664Z,44524,open,0000000000000262,1,42.167,196,4,196,4,index=29;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.714Z,44524,open,0000000000000263,1,43.056,198,4,198,4,index=30;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.763Z,44524,open,0000000000000264,1,43.171,200,4,200,4,index=31;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.812Z,44524,open,0000000000000265,1,43.727,202,4,202,4,index=32;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.860Z,44524,open,0000000000000266,1,43.292,204,4,204,4,index=33;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.912Z,44524,open,0000000000000267,1,44.853,206,4,206,4,index=34;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:06.959Z,44524,open,0000000000000268,1,42.099,208,4,208,4,index=35;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.007Z,44524,open,0000000000000269,1,42.804,210,4,210,4,index=36;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.058Z,44524,open,000000000000026A,1,43.576,212,4,212,4,index=37;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.105Z,44524,open,000000000000026B,1,42.602,214,4,214,4,index=38;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.155Z,44524,open,000000000000026C,1,42.507,216,4,216,4,index=39;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.205Z,44524,open,000000000000026D,1,43.048,218,4,218,4,index=40;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.254Z,44524,open,000000000000026E,1,42.906,220,4,220,4,index=41;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.304Z,44524,open,000000000000026F,1,44.085,222,4,222,4,index=42;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.354Z,44524,open,0000000000000270,1,43.910,224,4,224,4,index=43;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.405Z,44524,open,0000000000000271,1,43.519,226,4,226,4,index=44;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.456Z,44524,open,0000000000000272,1,43.758,228,4,228,4,index=45;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.507Z,44524,open,0000000000000273,1,44.182,230,4,230,4,index=46;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.559Z,44524,open,0000000000000274,1,45.006,232,4,232,4,index=47;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.610Z,44524,open,0000000000000275,1,44.116,234,4,234,4,index=48;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.661Z,44524,open,0000000000000276,1,43.588,236,4,236,4,index=49;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.711Z,44524,open,0000000000000277,1,44.198,238,4,238,4,index=50;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.761Z,44524,open,0000000000000278,1,43.755,240,4,240,4,index=51;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.813Z,44524,open,0000000000000279,1,44.749,242,4,242,4,index=52;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.864Z,44524,open,000000000000027A,1,44.408,244,4,244,4,index=53;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.920Z,44524,open,000000000000027B,1,50.385,246,4,246,4,index=54;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:07.973Z,44524,open,000000000000027C,1,45.152,248,4,248,4,index=55;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.025Z,44524,open,000000000000027D,1,45.390,250,4,250,4,index=56;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.075Z,44524,open,000000000000027E,1,44.921,252,4,252,4,index=57;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.128Z,44524,open,000000000000027F,1,45.473,254,4,254,4,index=58;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.180Z,44524,open,0000000000000280,1,44.917,256,4,256,4,index=59;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.232Z,44524,open,0000000000000281,1,45.235,258,4,258,4,index=60;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.284Z,44524,open,0000000000000282,1,44.292,260,4,260,4,index=61;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.335Z,44524,open,0000000000000283,1,44.794,262,4,262,4,index=62;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.387Z,44524,open,0000000000000284,1,44.303,264,4,264,4,index=63;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.439Z,44524,open,0000000000000285,1,44.576,266,4,266,4,index=64;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.489Z,44524,open,0000000000000286,1,44.511,268,4,268,4,index=65;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.542Z,44524,open,0000000000000287,1,45.348,270,4,270,4,index=66;device=4294967295;options=0x8015;hwnd=00000000004813DC
2026-09-14T17:35:08.547Z,44524,terminate_self,0000000000000000,67,0.000,270,4,270,4,no_WTClose
