"utc","name","pid","service_status","handles","threads","private_bytes","working_set_bytes"
"2026-09-14T17:39:44.5554418Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
"2026-09-14T17:39:54.5995653Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:39:54.5995653Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:54.5995653Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
"2026-09-14T17:40:04.6437443Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:40:04.6437443Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:40:04.6437443Z","WTabletServicePro","40496","Running","204","5","2457600","12992512"
"2026-09-14T17:40:14.6906134Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:40:14.6906134Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:40:14.6906134Z","WTabletServicePro","40496","Running","204","5","2457600","12992512"
"2026-09-14T17:40:24.7388703Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:40:24.7388703Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:40:24.7388703Z","WTabletServicePro","40496","Running","202","3","2392064","12955648"
"2026-09-14T17:40:34.7925484Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:40:34.7925484Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:40:34.7925484Z","WTabletServicePro","40496","Running","202","3","2392064","12955648"
"2026-09-14T17:40:44.8344153Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:40:44.8344153Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:40:44.8344153Z","WTabletServicePro","40496","Running","202","4","2424832","12972032"
"2026-09-14T17:40:54.8770367Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:40:54.8770367Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:40:54.8770367Z","WTabletServicePro","40496","Running","202","4","2424832","12972032"
"2026-09-14T17:41:04.9269477Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:41:04.9269477Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:41:04.9269477Z","WTabletServicePro","40496","Running","202","4","2424832","12972032"
"2026-09-14T17:41:14.9778295Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:41:14.9778295Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:41:14.9778295Z","WTabletServicePro","40496","Running","204","4","2424832","12972032"
"2026-09-14T17:41:25.0215994Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:41:25.0215994Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:41:25.0215994Z","WTabletServicePro","40496","Running","204","4","2424832","12972032"
"2026-09-14T17:41:35.0757447Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:41:35.0757447Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:41:35.0757447Z","WTabletServicePro","40496","Running","204","4","2424832","12972032"
"2026-09-14T17:41:45.1253405Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:41:45.1253405Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:41:45.1253405Z","WTabletServicePro","40496","Running","204","4","2424832","12980224"
"2026-09-14T17:41:55.1801340Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:41:55.1801340Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:41:55.1801340Z","WTabletServicePro","40496","Running","204","4","2424832","12980224"
"2026-09-14T17:42:05.2340168Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:42:05.2340168Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:42:05.2340168Z","WTabletServicePro","40496","Running","204","4","2424832","12980224"
"2026-09-14T17:42:15.2786545Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:42:15.2786545Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:42:15.2786545Z","WTabletServicePro","40496","Running","204","4","2424832","12980224"
"2026-09-14T17:42:25.3206815Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:42:25.3206815Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:42:25.3206815Z","WTabletServicePro","40496","Running","204","4","2424832","12980224"
"2026-09-14T17:42:35.3724982Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:42:35.3724982Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:42:35.3724982Z","WTabletServicePro","40496","Running","202","3","2392064","12959744"
"2026-09-14T17:42:45.4338673Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:42:45.4338673Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:42:45.4338673Z","WTabletServicePro","40496","Running","202","4","2420736","12976128"
"2026-09-14T17:42:55.4790539Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:42:55.4790539Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:42:55.4790539Z","WTabletServicePro","40496","Running","202","4","2420736","12976128"
"2026-09-14T17:43:05.5223064Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:43:05.5223064Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
