utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:48:25.282Z,58492,manager_exports,0000000000000000,1,0.000,512,4,512,4,"open;close;enum;owner;default"
2026-09-14T18:48:25.296Z,58492,manager_open,0000000000000004,1,0.082,512,4,512,4,"hidden;lastError=0"
2026-09-14T18:48:25.636Z,58492,enumerated_context,0000000000000AE8,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-29"
2026-09-14T18:48:25.649Z,58492,enumerated_context,0000000000000AE7,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-28"
2026-09-14T18:48:25.663Z,58492,enumerated_context,0000000000000AE6,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-27"
2026-09-14T18:48:25.677Z,58492,enumerated_context,0000000000000AE5,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-26"
2026-09-14T18:48:25.690Z,58492,enumerated_context,0000000000000AE4,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-25"
2026-09-14T18:48:25.704Z,58492,enumerated_context,0000000000000AE3,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-24"
2026-09-14T18:48:25.718Z,58492,enumerated_context,0000000000000AE2,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-23"
2026-09-14T18:48:25.733Z,58492,enumerated_context,0000000000000AE1,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-22"
2026-09-14T18:48:25.746Z,58492,enumerated_context,0000000000000AE0,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-21"
2026-09-14T18:48:25.760Z,58492,enumerated_context,0000000000000ADF,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-20"
2026-09-14T18:48:25.773Z,58492,enumerated_context,0000000000000ADE,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-19"
2026-09-14T18:48:25.788Z,58492,enumerated_context,0000000000000ADD,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-18"
2026-09-14T18:48:25.799Z,58492,enumerated_context,0000000000000ADC,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-17"
2026-09-14T18:48:25.814Z,58492,enumerated_context,0000000000000ADB,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-16"
2026-09-14T18:48:25.827Z,58492,enumerated_context,0000000000000ADA,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-15"
2026-09-14T18:48:25.841Z,58492,enumerated_context,0000000000000AD9,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-14"
2026-09-14T18:48:25.855Z,58492,enumerated_context,0000000000000AD8,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-13"
2026-09-14T18:48:25.867Z,58492,enumerated_context,0000000000000AD7,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-12"
2026-09-14T18:48:25.879Z,58492,enumerated_context,0000000000000AD6,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-11"
2026-09-14T18:48:25.894Z,58492,enumerated_context,0000000000000AD5,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-10"
2026-09-14T18:48:25.908Z,58492,enumerated_context,0000000000000AD4,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-9"
2026-09-14T18:48:25.920Z,58492,enumerated_context,0000000000000AD3,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-8"
2026-09-14T18:48:25.933Z,58492,enumerated_context,0000000000000AD2,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-7"
2026-09-14T18:48:25.947Z,58492,enumerated_context,0000000000000AD1,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-6"
2026-09-14T18:48:25.961Z,58492,enumerated_context,0000000000000AD0,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-5"
2026-09-14T18:48:25.976Z,58492,enumerated_context,0000000000000ACF,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-4"
