"utc","ProcessName","Id","service_status","HandleCount","threads","PrivateMemorySize64","WorkingSet64"
"2026-09-14T18:50:24.8717789Z","Wacom_Tablet","34844","Running","724","67","48234496","93552640"
"2026-09-14T18:50:24.8721064Z","Wacom_TabletUser","55636","Running","307","4","2977792","23506944"
"2026-09-14T18:50:24.8721542Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
